Date,,,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
11-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,831,,4,,0.48%,₹ 20.21,,,₹ 5.05,₹ 0.00,0,0.00%,0,₹ 0.00
12-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,796,,4,,0.50%,₹ 11.15,,,₹ 2.79,₹ 0.00,0,0.00%,0,₹ 0.00
12-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1159,,4,,0.35%,₹ 18.91,,,₹ 4.73,₹ 0.00,0,0.00%,0,₹ 0.00
13-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,744,,6,,0.81%,₹ 18.46,,,₹ 3.08,₹ 0.00,0,0.00%,0,₹ 0.00
13-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,875,,3,,0.34%,₹ 13.34,,,₹ 4.45,₹ 0.00,0,0.00%,0,₹ 0.00
14-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,901,,4,,0.44%,₹ 11.39,,,₹ 2.85,₹ 0.00,0,0.00%,0,₹ 0.00
14-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,714,,5,,0.70%,₹ 23.62,,,₹ 4.72,₹ 0.00,0,0.00%,0,₹ 0.00
15-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1460,,8,,0.55%,₹ 22.76,,,₹ 2.85,₹ 0.00,0,0.00%,0,₹ 0.00
15-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1003,,5,,0.50%,₹ 21.25,,,₹ 4.25,₹ 0.00,0,0.00%,0,₹ 0.00
16-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2136,,17,,0.80%,₹ 46.00,,,₹ 2.71,₹ 0.00,0,0.00%,0,₹ 0.00
16-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1554,,4,,0.26%,₹ 19.67,,,₹ 4.92,₹ 0.00,0,0.00%,0,₹ 0.00
17-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1121,,8,,0.71%,₹ 18.63,,,₹ 2.33,₹ 0.00,1,5.08%,19.68,₹ 366.67
17-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,947,,2,,0.21%,₹ 9.37,,,₹ 4.68,₹ 0.00,0,0.00%,0,₹ 0.00
18-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,947,,8,,0.85%,₹ 22.75,,,₹ 2.84,₹ 0.00,1,6.20%,16.12,₹ 366.67
18-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,753,,5,,0.66%,₹ 23.45,,,₹ 4.69,₹ 0.00,0,0.00%,0,₹ 0.00
19-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,848,,10,,1.18%,₹ 24.95,,,₹ 2.50,₹ 0.00,0,0.00%,0,₹ 0.00
19-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,388,,2,,0.52%,₹ 10.19,,,₹ 5.09,₹ 0.00,0,0.00%,0,₹ 0.00
20-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,761,,5,,0.66%,₹ 11.42,,,₹ 2.28,₹ 0.00,0,0.00%,0,₹ 0.00
20-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,465,,1,,0.22%,₹ 1.97,,,₹ 1.97,₹ 0.00,0,0.00%,0,₹ 0.00
21-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,790,,5,,0.63%,₹ 13.42,,,₹ 2.68,₹ 0.00,0,0.00%,0,₹ 0.00
21-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,525,,0,,0.00%,₹ 0.00,,,₹ 0.00,₹ 0.00,0,0.00%,0,₹ 0.00
22-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,682,,7,,1.03%,₹ 16.05,,,₹ 2.29,₹ 0.00,0,0.00%,0,₹ 0.00
22-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,486,,3,,0.62%,₹ 14.16,,,₹ 4.72,₹ 0.00,0,0.00%,0,₹ 0.00
23-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,958,,7,,0.73%,₹ 17.86,,,₹ 2.55,₹ 0.00,0,0.00%,0,₹ 0.00
23-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,744,,3,,0.40%,₹ 12.75,,,₹ 4.25,₹ 0.00,0,0.00%,0,₹ 0.00
24-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,541,,6,,1.11%,₹ 16.85,,,₹ 2.81,₹ 0.00,0,0.00%,0,₹ 0.00
24-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,82,,1,,1.22%,₹ 4.74,,,₹ 4.74,₹ 0.00,0,0.00%,0,₹ 0.00
24-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,505,,2,,0.40%,₹ 4.95,,,₹ 2.48,₹ 0.00,0,0.00%,0,₹ 0.00
25-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1025,,10,,0.98%,₹ 23.37,,,₹ 2.34,₹ 0.00,0,0.00%,0,₹ 0.00
25-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,3719,,10,,0.27%,₹ 26.02,,,₹ 2.60,₹ 0.00,1,6.85%,14.6,₹ 380.00
26-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2390,,18,,0.75%,₹ 47.57,,,₹ 2.64,₹ 0.00,0,0.00%,0,₹ 0.00
26-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,2965,,18,,0.61%,₹ 47.67,,,₹ 2.65,₹ 0.00,1,12.55%,7.97,₹ 380.00
27-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2680,,26,,0.97%,₹ 66.75,,,₹ 2.57,₹ 0.00,0,0.00%,0,₹ 0.00
27-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,6937,,12,,0.17%,₹ 45.77,,,₹ 3.81,₹ 0.00,1,12.05%,8.3,₹ 380.00
28-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2731,,14,,0.51%,₹ 35.94,,,₹ 2.57,₹ 0.00,1,9.80%,10.2,₹ 366.67
28-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,8895,,31,,0.35%,₹ 117.02,,,₹ 3.77,₹ 0.00,3,10.20%,9.81,"₹ 1,147.62"
29-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,144,,0,,0.00%,₹ 0.00,,,₹ 0.00,₹ 0.00,0,0.00%,0,₹ 0.00
29-Oct-22,,,No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,4707,,38,,0.81%,₹ 100.46,,,₹ 2.64,₹ 0.00,4,6.43%,15.55,"₹ 1,561.91"
29-Oct-22,,,No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2795,,56,,2.00%,₹ 116.06,,,₹ 2.07,₹ 0.00,1,29.94%,3.34,₹ 387.62
29-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,5437,,34,,0.63%,₹ 121.49,,,₹ 3.57,₹ 0.00,1,31.97%,3.13,₹ 380.00
30-Oct-22,,,No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2963,,68,,2.30%,₹ 147.53,,,₹ 2.17,₹ 0.00,2,20.44%,4.89,₹ 721.90
30-Oct-22,,,No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,3592,,39,,1.09%,₹ 106.71,,,₹ 2.74,₹ 0.00,5,5.66%,17.68,"₹ 1,886.67"
30-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,6901,,33,,0.48%,₹ 121.00,,,₹ 3.67,₹ 0.00,3,10.54%,9.48,"₹ 1,147.62"
31-Oct-22,,,No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,1730,,34,,1.97%,₹ 97.14,,,₹ 2.86,₹ 0.00,3,8.35%,11.97,"₹ 1,162.86"
31-Oct-22,,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,9190,,32,,0.35%,₹ 117.90,,,₹ 3.68,₹ 0.00,2,10.70%,9.35,"₹ 1,101.90"
31-Oct-22,,,No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,7242,,71,,0.98%,₹ 142.44,,,₹ 2.01,₹ 0.00,5,7.35%,13.61,"₹ 1,938.10"
